Категория;Имя;Активность;Цена;Количество;Фото;Описание
;"Товар тестовый 2";0;0;0;;
"Техника для дома";Кофеварка;1;2500;1;;"уку укукуциуакуа укукк"
"Техника для дома";Миксер;1;1000;3;2380f8e63cecf01259871e0febfb6314_8fa55844cd.jpg;"Ми́ксер (англ. mixer — «мешалка» от др.-греч. μῖξις — «смешение, смесь») — устройство для приготовления пищи методом перемешивания её компонентов до создания однородной массы и обогащения взбиваемой жидкости воздухом. Миксером взбивают и замешивают яйца, сливки, коктейли, мусс, ..."
"Техника для дома";Плойка;1;0;0;blossom-plant-leaf-flower-petal-rose-green-botany-yellow-flora-flowers_21d540c545.jpg;
"Техника для дома";"Посудомоечная машина";1;1444;1;13005b18aa5560_235033f963.jpg;
"Техника для дома";Пылесос;0;3000;3;54763784_d9215e8493.jpg;"Сегодня на рынке существует так много разных пылесосов, с различными типами фильтрации и широкими возможностями использования, что покупатель часто путается в них. Одно из самых распространенных заблуждений это «пылесос с аквафильтром = моющий пылесос»."
"Техника для дома";Соковыжималка;1;2102;1;351837d345ed6ce0e439fd60f6bb1226_a8f0d4e8cc.jpg;ввавава
"Техника для дома";Электромясорубка;1;2000;3;54763784_5790a7addc.jpg;"укукукукуку укукукй укукукукукукк"
Гаджеты;"Товар тестовый";1;10000;2;forma4_55034f3da2.png;"еееееееее ееееее"
Холодильники;"Холодильники No frost";1;13045;1;;"Картинки по запросу холодильник ноу фрост єто
«Ноу фрост» — это система охлаждения морозильной и холодильной камер, которая обеспечивает принудительную циркуляцию холодного воздуха и предотвращает образование наледи на стенках холодильника."
Телефоны;"Мобильный телефон";1;1;1;351837d345ed6ce0e439fd60f6bb1226_5ab00204e1.jpg;"ывваапаыц ввыыы"
Телефоны;"Самсунг Галакси С7";1;10222;1;;
"Детские товары";Фен;1;439;2;moukk0yvuqc_216284b280.jpg;"hghghh hhgh hghghjty000"
Куклы;"Увлажнители воздуха2";1;1334;1;;
Куклы;"Увлажнители воздуха3";1;0;0;otkrytki-s-dnem-rozhdenia-roditelyam-morkovka_f58013d48f.jpg;цуцкув
Мотоциклы;"Мотоцикл К255";1;123;1;;"МОТОЦИКЛ, оснащенное двигателем двухколесное транспортное средство. Создание первого действующего мотоцикла обычно приписывается Готлибу ДАЙМЛЕРУ. Он установил четырехтактный ДВИГАТЕЛЬ ВНУТРЕННЕГО СГОРАНИЯ на раму деревянного велосипеда. "
